ladder,rung,gamma,k
spin,1,2.0496047851061596,0.2696390217235278
spin,1,0.9192128400284415,0.8032231173190031
spin,1,1.5339874066273462,0.5184003043419045
spin,1,1.9858532515904939,0.2983789887290823
spin,1,0.30748406987334354,0.9765490306005966
spin,1,1.1498907815821267,0.7042935645405258
spin,1,0.764487283442449,0.8608686688945294
spin,1,1.5821471937268299,0.4943246884057851
spin,1,0.31540215977527064,0.9753358531538191
spin,1,1.2238266035799796,0.6700248390730016
spin,1,0.7504605244454622,0.8656874399918267
spin,1,1.6207777491641926,0.47501969257572413
spin,1,1.9886786015391147,0.29708706567917914
spin,1,2.308174329226801,0.16382533336916344
spin,1,1.7052373139604902,0.432981818277499
spin,1,1.3550262304113392,0.6070498654758703
spin,1,1.4081812418782829,0.5809496710438932
spin,1,0.9458672876955347,0.7925198623970261
spin,1,0.27528512492269797,0.9811738668545563
spin,1,0.2830086582264917,0.9801098150621793
spin,1,0.6819682527590346,0.8881667948902054
spin,1,1.6172428241667602,0.4767851002439693
spin,1,0.7550296174114915,0.8641256231933918
spin,1,1.0102339038294266,0.7658313148077545
spin,1,2.131232170180769,0.23422229100322306
spin,1,0.7957542826445604,0.8498730559767531
spin,1,1.6309413166212055,0.4699456326142195
spin,1,1.8006330592606596,0.3860907238070523
spin,1,1.2381671403066201,0.6632646136416936
spin,1,1.9270217660562572,0.3256304336097781
spin,1,0.6208919474007233,0.906679940090697
spin,1,2.01011332286662,0.2873392915876129
spin,1,0.9845248702203853,0.7766294822071339
spin,1,0.3779481430163857,0.964711877952634
spin,1,1.0649074801483644,0.7422925725013151
spin,1,2.180348752079309,0.21374972549751944
spin,1,0.7994198475159539,0.848561383997105
spin,1,2.13746187646728,0.23158911150447067
spin,1,0.4320730267617183,0.9540498064260339
spin,1,1.0261914820645737,0.7590400709916111
spin,1,1.7392583690768002,0.4161668190596019
spin,1,1.7496212042044035,0.4110633434345627
spin,1,1.8859016014365175,0.34504171787067334
spin,1,2.5778526730461135,0.07736871793240617
spin,1,2.006323625678965,0.28905573283977565
spin,1,1.5334616345982242,0.5186630097295295
spin,1,0.9646473159098401,0.7848533822334545
spin,1,1.861150506089571,0.3568542013488267
spin,1,1.3956836824626067,0.5871095301761089
spin,1,2.6804945820119643,0.05221776469370385
spin,1,0.5750451199913277,0.9195838818727017
spin,1,2.0632972976509616,0.26358444860607944
spin,1,0.9393277136701098,0.7951654009893881
spin,1,1.811496176681601,0.38080882053443615
spin,1,2.1994882195610077,0.20595636622046837
spin,1,0.9842961211718668,0.7767247500128949
spin,1,2.945585647900989,0.009573975920617
spin,1,1.969111637325419,0.3060669556669827
spin,1,2.0527602425800615,0.2682398663904629
spin,1,0.5111138952903121,0.9361000939938466
spin,1,1.9285027005547968,0.32493664448174797
spin,1,1.2838429772033244,0.641515734206014
spin,1,1.8727959512509895,0.35128503561127344
spin,1,1.6411178835598592,0.46486819350573494
