experiment,target,representation,model,encoding,n_uploads,n_qubits,n_layers,n_params,n_train,rotation_id,polar_angle,seed,stepsize,train_acc,test_acc,balanced_acc,majority,ceiling,final_loss,wall_time
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,4,24,300,,,2001,0.05,0.9733333333333334,0.99,0.99,0.5,0.9828999999999539,0.3237557257103337,5.8753416538238525
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,4,24,300,,,2002,0.05,0.9833333333333333,0.99,0.99,0.5,0.9828999999999539,0.2967415363249151,5.632620334625244
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,4,24,300,,,2000,0.2,0.98,0.98,0.98,0.5,0.9828999999999539,0.30372005248343104,5.629309177398682
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,4,24,300,,,2001,0.2,0.9733333333333334,0.99,0.99,0.5,0.9828999999999539,0.323755933386281,5.80766487121582
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,4,24,300,,,2002,0.2,0.9833333333333333,0.99,0.99,0.5,0.9828999999999539,0.2967415374607486,5.664146423339844
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,6,36,300,,,2000,0.05,0.98,0.98,0.98,0.5,0.9828999999999539,0.3037200053747149,8.575554609298706
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,6,36,300,,,2001,0.05,0.9733333333333334,0.99,0.99,0.5,0.9828999999999539,0.323755699002867,8.10767674446106
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,6,36,300,,,2002,0.05,0.9833333333333333,0.99,0.99,0.5,0.9828999999999539,0.2967415240791381,8.392131805419922
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,6,36,300,,,2000,0.2,0.98,0.98,0.98,0.5,0.9828999999999539,0.30372000271830973,8.337587118148804
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,6,36,300,,,2001,0.2,0.9733333333333334,0.99,0.99,0.5,0.9828999999999539,0.32375566692975544,8.32950496673584
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,6,36,300,,,2002,0.2,0.9833333333333333,0.99,0.99,0.5,0.9828999999999539,0.2967415499683757,8.15939450263977
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,10,60,300,,,2000,0.05,0.98,0.98,0.98,0.5,0.9828999999999539,0.3037200144419567,13.526447296142578
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,10,60,300,,,2001,0.05,0.9733333333333334,0.99,0.99,0.5,0.9828999999999539,0.3237556681533106,13.370546102523804
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,10,60,300,,,2002,0.05,0.9833333333333333,0.99,0.99,0.5,0.9828999999999539,0.2967415309564306,13.046673774719238
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,10,60,300,,,2000,0.2,0.98,0.98,0.98,0.5,0.9828999999999539,0.30371999896154034,13.216370344161987
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,10,60,300,,,2001,0.2,0.9733333333333334,0.98,0.98,0.5,0.9828999999999539,0.3290115056082677,13.345988988876343
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,10,60,300,,,2002,0.2,0.9833333333333333,0.99,0.99,0.5,0.9828999999999539,0.29676270080187683,13.085403442382812
falsification-control,latitude_bands,,BestAffine,,,,,4,300,,,3000,,0.99,0.96,0.96,0.5,0.9828999999999539,,
falsification-control,latitude_bands,,LogisticOnCartesian,,,,,4,300,,,3000,,0.98,1.0,1.0,0.5,0.9828999999999539,,
falsification-control,latitude_bands,,LogisticOnSinCos,,,,,5,300,,,3000,,0.98,1.0,1.0,0.5,0.9828999999999539,,
falsification-control,latitude_bands,,HarmonicRegression(L=1),,,,,4,300,,,3000,,0.9833333333333333,0.99,0.99,0.5,0.9828999999999539,,
falsification-control,latitude_bands,,HarmonicRegression(L=2),,,,,9,300,,,3000,,0.9833333333333333,0.98,0.98,0.5,0.9828999999999539,,
falsification-control,latitude_bands,,Majority,,,,,0,300,,,3000,,0.5,0.5,0.5,0.5,0.9828999999999539,,
